,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
60,2016p263259_1,9,13,4,-14.18266667,-16.14392308,-1.96125641,NA,NA,NA,NA,NA,NA,NA,NA
61,2016p263259_2,14,6,-8,-17.60757143,-15.0775,2.530071429,2016p263259,2,9.487145424,3.247858798,168682.2442,9.813,4/7/2016 9:46,98
62,2016p263259_3,51,3,-48,-10.814,-8.659,2.155,2016p263259,3,9.487145424,3.247858798,116440.4611,23.695,4/7/2016 9:45,98
63,2016p263259_4,7,26,19,-4.673857143,-3.834807692,0.839049451,2016p263259,4,9.487145424,3.247858798,152953.7292,13.457,4/7/2016 9:46,98
64,2016p263259_5,127,99,-28,-14.19975591,-11.94549495,2.254260956,NA,NA,NA,NA,NA,NA,NA,NA
65,2016p283637_1,7,3,-4,-15.99185714,-16.487,-0.495142857,2016p283637,1,147.9259491,3.485644509,127379.0905,10.548,4/14/2016 22:44,105
66,2016p283637_2,115,162,47,-16.63828696,-12.8702716,3.768015352,2016p283637,2,147.9259491,3.485644509,84807.70214,18.972,4/14/2016 22:44,105
67,2016p283637_3,104,83,-21,-5.953701923,-0.996590361,4.957111562,2016p283637,3,147.9259491,3.485644509,130106.9145,27.881,4/14/2016 22:44,105
68,2016p283637_4,126,136,10,-7.626039683,-5.549014706,2.077024977,2016p283637,4,147.9259491,3.485644509,164195.5754,25.738,4/14/2016 22:44,105
69,2016p283637_5,1,5,4,-16.047,-18.7386,-2.6916,2016p283637,5,147.9259491,3.485644509,236937.4491,10.404,4/14/2016 22:44,105
70,2016p300395_1,4,1,-3,-17.1475,-2.22,14.9275,NA,NA,NA,NA,NA,NA,NA,NA
71,2016p300395_2,97,179,82,-19.60319588,-19.0864581,0.516737776,2016p300395,2,199.8073578,3.025388765,133681.9697,7.277,4/21/2016 3:31,112
72,2016p300395_3,164,219,55,-4.907896341,-3.849607306,1.058289036,2016p300395,3,199.8073578,3.025388765,179684.8755,16.541,4/21/2016 3:31,112
73,2016p300395_4,64,57,-7,-15.59848438,-15.86412281,-0.265638432,2016p300395,4,199.8073578,3.025388765,209368.406,10.765,4/21/2016 3:31,112
74,2016p300395_5,3,8,5,-15.02033333,-18.27225,-3.251916667,NA,NA,NA,NA,NA,NA,NA,NA
75,2016p303279_2,79,90,11,-17.72201266,-18.67098889,-0.948976231,2016p303279,2,22.19772911,3.052875824,84064.48867,16.186,4/22/2016 5:08,113
