X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
91,2016p300395_5,1.180224753,1.153026269,-0.027198484,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2016p303279_1,1.031759993,1.108872498,0.077112504,2016p303279,1,22.19772911,3.052875824,148258.1818,8.927,4/22/2016 5:08,113,-31.626
93,2016p303279_2,1.142126949,1.205205583,0.063078635,2016p303279,2,22.19772911,3.052875824,84064.48867,16.186,4/22/2016 5:08,113,-24.367
94,2016p303279_3,1.193070079,1.221814843,0.028744764,2016p303279,3,22.19772911,3.052875824,122475.5753,19.984,4/22/2016 5:08,113,-20.569
95,2016p303279_4,1.222512362,1.195509647,-0.027002714,2016p303279,4,22.19772911,3.052875824,168073.7581,11.594,4/22/2016 5:08,113,-28.959
96,2016p303279_5,1.176431155,1.156451679,-0.019979476,2016p303279,5,22.19772911,3.052875824,249104.1541,6.235,4/22/2016 5:08,113,-34.318
97,2016p316432_1,1.077845229,1.115396116,0.037550887,2016p316432,1,93.63026428,3.333907955,146386.9101,20.316,4/27/2016 1:57,118,-20.237
98,2016p316432_2,1.217809306,1.224857909,0.007048603,2016p316432,2,93.63026428,3.333907955,27610.69922,21.699,4/27/2016 1:57,118,-18.854
99,2016p316432_3,1.062089635,1.242663322,0.180573687,2016p316432,3,93.63026428,3.333907955,58510.52381,26.861,4/27/2016 1:57,118,-13.692
100,2016p316432_4,1.230232118,1.220852341,-0.009379777,2016p316432,4,93.63026428,3.333907955,111409.2048,18.758,4/27/2016 1:57,118,-21.795
101,2016p316432_5,1.149985839,1.149677103,-0.000308736,2016p316432,5,93.63026428,3.333907955,206862.1918,8.263,4/27/2016 1:57,118,-32.29
102,2016p336534_1,1.15467133,1.155844166,0.001172836,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2016p336534_2,1.01870259,1.121064316,0.102361726,2016p336534,2,194.5833435,3.106123037,45093.0577,12.171,5/4/2016 12:26,125,-28.382
104,2016p336534_3,1.029657721,1.085548235,0.055890514,2016p336534,3,194.5833435,3.106123037,87084.76612,22.862,5/4/2016 12:26,125,-17.691
105,2016p336534_4,1.197386084,1.146534206,-0.050851878,2016p336534,4,194.5833435,3.106123037,71914.11266,17.774,5/4/2016 12:26,125,-22.779
106,2016p336534_5,1.182022996,1.18703172,0.005008724,2016p336534,5,194.5833435,3.106123037,142799.391,6.383,5/4/2016 12:26,125,-34.17
107,2016p337803_1,1.149182748,1.146019173,-0.003163575,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,2016p337803_2,1.057419113,1.042441607,-0.014977506,2016p337803,2,21.90081215,3.053528429,116851.966,17.545,5/4/2016 23:42,125,-23.008
109,2016p337803_3,1.108814686,0.982152228,-0.126662458,2016p337803,3,21.90081215,3.053528429,65221.68039,32.155,5/4/2016 23:42,125,-8.398
110,2016p337803_4,1.194419684,1.161600098,-0.032819587,2016p337803,4,21.90081215,3.053528429,127715.8336,16.731,5/4/2016 23:42,125,-23.822
111,2016p337803_5,1.180249964,1.189740214,0.00949025,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2016p361097_1,1.104309324,1.155961853,0.051652529,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,2016p361097_2,1.060222925,1.076065094,0.015842169,2016p361097,2,11.22273731,3.035207333,131001.6224,15.918,5/13/2016 14:33,134,-24.635
114,2016p361097_3,1.074255917,1.09073162,0.016475703,2016p361097,3,11.22273731,3.035207333,163163.4538,14.418,5/13/2016 14:33,134,-26.135
115,2016p361097_4,1.139402723,1.153458063,0.01405534,2016p361097,4,11.22273731,3.035207333,215922.312,9.657,5/13/2016 14:33,134,-30.896
