,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
60,2016p263259_3,93,14,-79,-10.59654839,-12.06614286,-1.46959447,2016p263259,3,9.487145424,3.247858798,116440.4611,23.695,4/7/2016 9:45,98
61,2016p263259_4,20,0,-20,-5.139,NA,NA,2016p263259,4,9.487145424,3.247858798,152953.7292,13.457,4/7/2016 9:46,98
62,2016p263259_5,48,88,40,-14.86283333,-13.80319318,1.059640152,NA,NA,NA,NA,NA,NA,NA,NA
63,2016p283637_1,2,6,4,-16.744,-15.887,0.857,2016p283637,1,147.9259491,3.485644509,127379.0905,10.548,4/14/2016 22:44,105
64,2016p283637_2,92,68,-24,-18.63694565,-15.44701471,3.189930946,2016p283637,2,147.9259491,3.485644509,84807.70214,18.972,4/14/2016 22:44,105
65,2016p283637_3,112,57,-55,-10.02567857,-3.69854386,6.327134712,2016p283637,3,147.9259491,3.485644509,130106.9145,27.881,4/14/2016 22:44,105
66,2016p283637_4,53,84,31,-9.673886792,-6.46397619,3.209910602,2016p283637,4,147.9259491,3.485644509,164195.5754,25.738,4/14/2016 22:44,105
67,2016p283637_5,1,1,0,-14.246,-16.047,-1.801,2016p283637,5,147.9259491,3.485644509,236937.4491,10.404,4/14/2016 22:44,105
68,2016p300395_1,4,0,-4,-17.1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2016p300395_2,12,86,74,-19.74566667,-19.64955814,0.096108527,2016p300395,2,199.8073578,3.025388765,133681.9697,7.277,4/21/2016 3:31,112
70,2016p300395_3,27,146,119,-5.337037037,-4.929239726,0.407797311,2016p300395,3,199.8073578,3.025388765,179684.8755,16.541,4/21/2016 3:31,112
71,2016p300395_4,19,53,34,-14.76778947,-15.49407547,-0.726285998,2016p300395,4,199.8073578,3.025388765,209368.406,10.765,4/21/2016 3:31,112
72,2016p300395_5,3,0,-3,-15.02033333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2016p303279_2,25,61,36,-14.85592,-18.93703279,-4.081112787,2016p303279,2,22.19772911,3.052875824,84064.48867,16.186,4/22/2016 5:08,113
74,2016p303279_3,62,109,47,-9.5825,-8.46333945,1.11916055,2016p303279,3,22.19772911,3.052875824,122475.5753,19.984,4/22/2016 5:08,113
75,2016p303279_4,22,14,-8,-15.90936364,-17.91792857,-2.008564935,2016p303279,4,22.19772911,3.052875824,168073.7581,11.594,4/22/2016 5:08,113
76,2016p303279_5,3,4,1,-19.14366667,-19.622,-0.478333333,2016p303279,5,22.19772911,3.052875824,249104.1541,6.235,4/22/2016 5:08,113
77,2016p316432_1,2,0,-2,-14.489,NA,NA,2016p316432,1,93.63026428,3.333907955,146386.9101,20.316,4/27/2016 1:57,118
78,2016p316432_2,58,52,-6,-18.12986207,-20.15363462,-2.023772546,2016p316432,2,93.63026428,3.333907955,27610.69922,21.699,4/27/2016 1:57,118
79,2016p316432_3,123,171,48,-9.283813008,-12.24821053,-2.964397518,2016p316432,3,93.63026428,3.333907955,58510.52381,26.861,4/27/2016 1:57,118
80,2016p316432_4,39,44,5,-15.55033333,-15.79843182,-0.248098485,2016p316432,4,93.63026428,3.333907955,111409.2048,18.758,4/27/2016 1:57,118
81,2016p336534_1,75,17,-58,-13.85405333,-14.48141176,-0.627358431,NA,NA,NA,NA,NA,NA,NA,NA
82,2016p336534_2,203,0,-203,-8.857650246,NA,NA,2016p336534,2,194.5833435,3.106123037,45093.0577,12.171,5/4/2016 12:26,125
83,2016p336534_3,139,4,-135,-2.445410072,-10.28275,-7.837339928,2016p336534,3,194.5833435,3.106123037,87084.76612,22.862,5/4/2016 12:26,125
84,2016p336534_4,101,46,-55,-9.42070297,-4.406086957,5.014616014,2016p336534,4,194.5833435,3.106123037,71914.11266,17.774,5/4/2016 12:26,125
85,2016p336534_5,31,19,-12,-14.80967742,-13.82410526,0.985572156,2016p336534,5,194.5833435,3.106123037,142799.391,6.383,5/4/2016 12:26,125
86,2016p337803_1,162,142,-20,-9.048802469,-9.042753521,0.006048948,NA,NA,NA,NA,NA,NA,NA,NA
87,2016p337803_2,83,52,-31,-15.0223494,-11.91380769,3.108541705,2016p337803,2,21.90081215,3.053528429,116851.966,17.545,5/4/2016 23:42,125
88,2016p337803_3,175,88,-87,-7.707885714,-4.580625,3.127260714,2016p337803,3,21.90081215,3.053528429,65221.68039,32.155,5/4/2016 23:42,125
89,2016p337803_4,148,77,-71,-9.445304054,-6.558376623,2.886927431,2016p337803,4,21.90081215,3.053528429,127715.8336,16.731,5/4/2016 23:42,125
90,2016p337803_5,84,78,-6,-11.35960714,-11.72814103,-0.368533883,NA,NA,NA,NA,NA,NA,NA,NA
91,2016p361097_1,216,267,51,-13.16542593,-9.792389513,3.373036413,NA,NA,NA,NA,NA,NA,NA,NA
92,2016p361097_2,38,64,26,-13.99747368,-11.90496875,2.092504934,2016p361097,2,11.22273731,3.035207333,131001.6224,15.918,5/13/2016 14:33,134
93,2016p361097_3,143,117,-26,-9.978594406,-9.761820513,0.216773893,2016p361097,3,11.22273731,3.035207333,163163.4538,14.418,5/13/2016 14:33,134
94,2016p361097_4,10,6,-4,-8.6343,-10.389,-1.7547,2016p361097,4,11.22273731,3.035207333,215922.312,9.657,5/13/2016 14:33,134
95,2016p361097_5,73,33,-40,-16.01219178,-17.25954545,-1.247353674,NA,NA,NA,NA,NA,NA,NA,NA
96,2016p389145_1,93,18,-75,-9.207817204,-7.329444444,1.87837276,2016p389145,1,75.84237671,3.230236853,159012.1864,18.847,5/23/2016 23:37,144
97,2016p389145_2,14,60,46,-19.54921429,-19.32118333,0.228030952,2016p389145,2,75.84237671,3.230236853,48252.37984,27.05,5/23/2016 23:37,144
98,2016p389145_3,42,99,57,-15.06261905,-2.66469697,12.39792208,2016p389145,3,75.84237671,3.230236853,25861.94252,31.722,5/23/2016 23:36,144
99,2016p389145_4,52,49,-3,-14.61734615,-14.82126531,-0.203919152,2016p389145,4,75.84237671,3.230236853,57216.03138,31.908,5/23/2016 23:37,144
100,2016p389145_5,35,0,-35,-10.54402857,NA,NA,2016p389145,5,75.84237671,3.230236853,165101.2966,19.599,5/23/2016 23:37,144
101,2016p397820_1,94,166,72,-12.58138298,-13.67640361,-1.095020636,2016p397820,1,135.8382874,3.421201313,249864.9647,9.165,5/27/2016 4:39,148
102,2016p397820_2,62,143,81,-15.84620968,-14.54695105,1.299258628,NA,NA,NA,NA,NA,NA,NA,NA
103,2016p397820_3,104,12,-92,-18.44675,-15.50375,2.943,2016p397820,3,135.8382874,3.421201313,164071.1261,19.86,5/27/2016 4:39,148
104,2016p397820_4,110,65,-45,-14.98768182,-12.28750769,2.700174126,2016p397820,4,135.8382874,3.421201313,116319.9556,17.953,5/27/2016 4:39,148
105,2016p397820_5,166,184,18,-19.07163253,-16.74620652,2.325426008,2016p397820,5,135.8382874,3.421201313,144110.2255,9.576,5/27/2016 4:39,148
106,2016p418574_1,9,1,-8,-13.357,-19.172,-5.815,NA,NA,NA,NA,NA,NA,NA,NA
107,2016p418574_2,12,7,-5,-18.79933333,-25.11457143,-6.315238095,2016p418574,2,189.222641,3.42426739,47563.18009,10.413,6/3/2016 20:57,155
108,2016p418574_3,9,8,-1,-18.131,-23.132375,-5.001375,2016p418574,3,189.222641,3.42426739,97148.75627,19.722,6/3/2016 20:57,155
109,2016p418574_4,13,37,24,-7.180307692,-17.3722973,-10.1919896,2016p418574,4,189.222641,3.42426739,92944.89633,16.376,6/3/2016 20:57,155
110,2016p418574_5,11,14,3,-15.24527273,-20.90585714,-5.660584416,2016p418574,5,189.222641,3.42426739,159016.6728,6.048,6/3/2016 20:57,155
111,2016p427491_1,8,30,22,-12.10725,-11.33876667,0.768483333,2016p427491,1,85.86700439,3.678503189,136465.2936,22.361,6/7/2016 4:08,159
112,2016p427491_2,6,34,28,-19.053,-15.45297059,3.600029412,2016p427491,2,85.86700439,3.678503189,8029.151108,30.702,6/7/2016 4:08,159
113,2016p427491_3,4,0,-4,-22.1505,NA,NA,2016p427491,3,85.86700439,3.678503189,44431.60903,32.215,6/7/2016 4:08,159
114,2016p427491_4,4,34,30,-9.131,-2.886764706,6.244235294,2016p427491,4,85.86700439,3.678503189,82829.07216,28.822,6/7/2016 4:08,159
115,2016p427491_5,6,68,62,-7.647,-10.42597059,-2.778970588,2016p427491,5,85.86700439,3.678503189,180048.4805,15.227,6/7/2016 4:08,159
116,2016p438469_1,1,14,13,-14.14,-12.36314286,1.776857143,2016p438469,1,13.45981407,3.292279163,172786.9681,10.657,6/11/2016 5:37,163
