X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
53,2016p183087_3,1.120621455,1.018944446,-0.101677008,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2016p183087_4,1.038374745,1.0752858,0.036911055,2016p183087,4,14.7265625,3.071433717,217916.3272,10.134,3/8/2016 17:50,68,-30.419
55,2016p183087_5,1.050100667,1.080119675,0.030019008,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2016p205021_1,1.092499859,1.11389396,0.021394101,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2016p205021_2,1.043618245,1.085152392,0.041534147,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2016p205021_3,1.062573944,1.121676426,0.059102482,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2016p205021_4,1.108501259,1.141143769,0.032642511,2016p205021,4,12,3.039768495,210154.5122,7.103,3/16/2016 20:36,76,-33.45
60,2016p205021_5,1.096747707,1.099109057,0.00236135,2016p205021,5,12,3.039768495,252999.8497,6.362,3/16/2016 20:37,76,-34.191
61,2016p219547_1,1.087527188,1.087065258,-0.00046193,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2016p219547_2,1.178596776,1.171462769,-0.007134007,2016p219547,2,23.984375,3.780000638,270808.325,8.23,3/22/2016 5:36,82,-32.323
63,2016p219547_3,1.13802935,1.130577159,-0.007452191,2016p219547,3,23.984375,3.780000638,227156.711,7.958,3/16/2016 20:36,76,-32.595
64,2016p219547_3,1.13802935,1.130577159,-0.007452191,2016p219547,3,23.984375,3.780000638,227156.711,15.408,3/22/2016 5:36,82,-25.145
65,2016p219547_4,1.130596232,1.164313252,0.03371702,2016p219547,4,23.984375,3.780000638,210737.7919,14.903,3/22/2016 5:36,82,-25.65
66,2016p219547_5,1.123622543,1.123905742,0.000283199,2016p219547,5,23.984375,3.780000638,251621.3566,8.609,3/22/2016 5:36,82,-31.944
67,2016p223944_1,1.049488981,1.004645627,-0.044843355,2016p223944,1,27.1484375,3.439265874,150947.7322,12.821,3/23/2016 20:39,83,-27.732
68,2016p223944_2,1.099528496,1.046797339,-0.052731158,2016p223944,2,27.1484375,3.439265874,111000.9125,17.998,3/23/2016 20:39,83,-22.555
69,2016p223944_3,1.134622594,1.149032978,0.014410384,2016p223944,3,27.1484375,3.439265874,152070.8755,22.021,3/23/2016 20:39,83,-18.532
70,2016p223944_4,1.112758907,1.133386349,0.020627442,2016p223944,4,27.1484375,3.439265874,192671.2751,13.739,3/23/2016 20:39,83,-26.814
71,2016p223944_5,1.129822998,1.119668286,-0.010154712,2016p223944,5,27.1484375,3.439265874,266159.9271,6.517,3/23/2016 20:39,83,-34.036
72,2016p242416_1,1.054683123,1.084149897,0.029466773,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2016p242416_2,1.053052062,1.128720729,0.075668666,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2016p242416_3,1.157115927,1.151495459,-0.005620468,2016p242416,3,12.38349438,3.134148491,199400.1006,5.654,3/30/2016 16:41,90,-34.899
75,2016p242416_4,1.117457887,1.139502631,0.022044744,2016p242416,4,12.38349438,3.134148491,217972.0254,6.87,3/30/2016 16:41,90,-33.683
76,2016p242416_5,1.128497981,1.105224657,-0.023273325,2016p242416,5,12.38349438,3.134148491,292272.5606,3.477,3/30/2016 16:41,90,-37.076
77,2016p263259_1,1.14218131,1.099386048,-0.042795262,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2016p263259_2,1.124149148,1.062002598,-0.06214655,2016p263259,2,9.487145424,3.247858798,168682.2442,9.813,4/7/2016 9:46,98,-30.74
79,2016p263259_3,1.043474572,1.052002792,0.00852822,2016p263259,3,9.487145424,3.247858798,116440.4611,23.695,4/7/2016 9:45,98,-16.858
80,2016p263259_4,1.177906558,1.170382042,-0.007524516,2016p263259,4,9.487145424,3.247858798,152953.7292,13.457,4/7/2016 9:46,98,-27.096
81,2016p263259_5,1.172235353,1.144180442,-0.028054911,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2016p283637_1,1.105857311,1.107855429,0.001998118,2016p283637,1,147.9259491,3.485644509,127379.0905,10.548,4/14/2016 22:44,105,-30.005
83,2016p283637_2,1.178497585,1.196175058,0.017677473,2016p283637,2,147.9259491,3.485644509,84807.70214,18.972,4/14/2016 22:44,105,-21.581
84,2016p283637_3,1.119282117,1.067300046,-0.051982072,2016p283637,3,147.9259491,3.485644509,130106.9145,27.881,4/14/2016 22:44,105,-12.672
85,2016p283637_4,1.138474503,1.192519569,0.054045066,2016p283637,4,147.9259491,3.485644509,164195.5754,25.738,4/14/2016 22:44,105,-14.815
86,2016p283637_5,1.186605145,1.213333801,0.026728656,2016p283637,5,147.9259491,3.485644509,236937.4491,10.404,4/14/2016 22:44,105,-30.149
87,2016p300395_1,1.105696385,1.114394291,0.008697906,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2016p300395_2,1.137442513,1.216286147,0.078843634,2016p300395,2,199.8073578,3.025388765,133681.9697,7.277,4/21/2016 3:31,112,-33.276
89,2016p300395_3,1.206609266,1.115451446,-0.09115782,2016p300395,3,199.8073578,3.025388765,179684.8755,16.541,4/21/2016 3:31,112,-24.012
90,2016p300395_4,1.171281077,1.199875592,0.028594515,2016p300395,4,199.8073578,3.025388765,209368.406,10.765,4/21/2016 3:31,112,-29.788
91,2016p300395_5,1.166625511,1.187001106,0.020375595,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2016p303279_1,1.070316246,1.152245787,0.081929541,2016p303279,1,22.19772911,3.052875824,148258.1818,8.927,4/22/2016 5:08,113,-31.626
93,2016p303279_2,1.173666266,1.26533968,0.091673414,2016p303279,2,22.19772911,3.052875824,84064.48867,16.186,4/22/2016 5:08,113,-24.367
94,2016p303279_3,1.207442461,1.210797788,0.003355327,2016p303279,3,22.19772911,3.052875824,122475.5753,19.984,4/22/2016 5:08,113,-20.569
95,2016p303279_4,1.209011005,1.236616694,0.027605689,2016p303279,4,22.19772911,3.052875824,168073.7581,11.594,4/22/2016 5:08,113,-28.959
96,2016p303279_5,1.166441417,1.202653103,0.036211686,2016p303279,5,22.19772911,3.052875824,249104.1541,6.235,4/22/2016 5:08,113,-34.318
97,2016p316432_1,1.096620672,1.104940568,0.008319896,2016p316432,1,93.63026428,3.333907955,146386.9101,20.316,4/27/2016 1:57,118,-20.237
98,2016p316432_2,1.221333608,1.230633169,0.009299561,2016p316432,2,93.63026428,3.333907955,27610.69922,21.699,4/27/2016 1:57,118,-18.854
99,2016p316432_3,1.152376479,1.242563255,0.090186776,2016p316432,3,93.63026428,3.333907955,58510.52381,26.861,4/27/2016 1:57,118,-13.692
100,2016p316432_4,1.22554223,1.154994127,-0.070548103,2016p316432,4,93.63026428,3.333907955,111409.2048,18.758,4/27/2016 1:57,118,-21.795
101,2016p316432_5,1.149831471,1.132252824,-0.017578647,2016p316432,5,93.63026428,3.333907955,206862.1918,8.263,4/27/2016 1:57,118,-32.29
102,2016p336534_1,1.155257748,1.136657579,-0.018600169,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2016p336534_2,1.069883453,1.187788707,0.117905254,2016p336534,2,194.5833435,3.106123037,45093.0577,12.171,5/4/2016 12:26,125,-28.382
104,2016p336534_3,1.057602978,1.149492087,0.091889109,2016p336534,3,194.5833435,3.106123037,87084.76612,22.862,5/4/2016 12:26,125,-17.691
105,2016p336534_4,1.171960145,1.162483719,-0.009476426,2016p336534,4,194.5833435,3.106123037,71914.11266,17.774,5/4/2016 12:26,125,-22.779
106,2016p336534_5,1.184527358,1.164949003,-0.019578355,2016p336534,5,194.5833435,3.106123037,142799.391,6.383,5/4/2016 12:26,125,-34.17
107,2016p337803_1,1.147600961,1.149902831,0.00230187,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,2016p337803_2,1.04993036,1.14913729,0.09920693,2016p337803,2,21.90081215,3.053528429,116851.966,17.545,5/4/2016 23:42,125,-23.008
109,2016p337803_3,1.045483457,1.101657871,0.056174414,2016p337803,3,21.90081215,3.053528429,65221.68039,32.155,5/4/2016 23:42,125,-8.398
110,2016p337803_4,1.178009891,1.195898897,0.017889006,2016p337803,4,21.90081215,3.053528429,127715.8336,16.731,5/4/2016 23:42,125,-23.822
111,2016p337803_5,1.184995089,1.19538397,0.010388881,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2016p361097_1,1.130135589,1.172376277,0.042240689,NA,NA,NA,NA,NA,NA,NA,NA,NA
