X,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS,energy_B_dBFS,energy_A_dBFS,delta_energy_dBFS
25,2016p180035_3,2,49,47,-6.2605,-4.187693878,2.072806122,2016p180035,3,25.82084084,3.186169287,196003.8141,18.209,3/7/2016 14:44,67,-22.344,-46.8135,-44.74069388,2.072806122
26,2016p180035_4,1,2,1,-8.368,-14.189,-5.821,2016p180035,4,25.82084084,3.186169287,200258.9395,13.009,3/7/2016 14:44,67,-27.544,-48.921,-54.742,-5.821
27,2016p180035_5,14,5,-9,-12.3405,-14.6808,-2.3403,2016p180035,5,25.82084084,3.186169287,264437.3536,8.559,3/7/2016 14:44,67,-31.994,-52.8935,-55.2338,-2.3403
28,2016p183087_2,1,5,4,-20.371,-18.4652,1.9058,2016p183087,2,14.7265625,3.071433717,135592.5724,11.426,3/8/2016 17:50,68,-29.127,-60.924,-59.0182,1.9058
29,2016p183087_4,2,4,2,-6.3955,-10.70025,-4.30475,2016p183087,4,14.7265625,3.071433717,217916.3272,10.134,3/8/2016 17:50,68,-30.419,-46.9485,-51.25325,-4.30475
30,2016p183087_5,2,3,1,-6.5165,-9.136666667,-2.620166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.0695,-49.68966667,-2.620166667
31,2016p205021_1,32,3,-29,-11.55740625,-10.28466667,1.272739583,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.11040625,-50.83766667,1.27273958
32,2016p205021_2,2,0,-2,-16.4415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.9945,NA,NA
33,2016p205021_3,2,0,-2,-14.6725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.2255,NA,NA
34,2016p205021_4,40,3,-37,-13.4442,-14.71366667,-1.269466667,2016p205021,4,12,3.039768495,210154.5122,7.103,3/16/2016 20:36,76,-33.45,-53.9972,-55.26666667,-1.26946667
35,2016p205021_5,13,2,-11,-13.33515385,-12.857,0.478153846,2016p205021,5,12,3.039768495,252999.8497,6.362,3/16/2016 20:37,76,-34.191,-53.88815385,-53.41,0.47815385
36,2016p219547_2,5,11,6,-17.0472,-16.60254545,0.444654545,2016p219547,2,23.984375,3.780000638,270808.325,8.23,3/22/2016 5:36,82,-32.323,-57.6002,-57.15554545,0.44465455
37,2016p219547_3,22,24,2,-13.901,-14.68645833,-0.785458333,2016p219547,3,23.984375,3.780000638,227156.711,15.408,3/22/2016 5:36,82,-25.145,-54.454,-55.23945833,-0.78545833
38,2016p219547_3,22,24,2,-13.901,-14.68645833,-0.785458333,2016p219547,3,23.984375,3.780000638,227156.711,7.958,3/16/2016 20:36,76,-32.595,-54.454,-55.23945833,-0.78545833
39,2016p219547_5,1,0,-1,-8.418,NA,NA,2016p219547,5,23.984375,3.780000638,251621.3566,8.609,3/22/2016 5:36,82,-31.944,-48.971,NA,NA
40,2016p223944_1,4,1,-3,-16.32075,-13.175,3.14575,2016p223944,1,27.1484375,3.439265874,150947.7322,12.821,3/23/2016 20:39,83,-27.732,-56.87375,-53.728,3.14575
41,2016p223944_2,5,3,-2,-18.6224,-19.08933333,-0.466933333,2016p223944,2,27.1484375,3.439265874,111000.9125,17.998,3/23/2016 20:39,83,-22.555,-59.1754,-59.64233333,-0.46693333
42,2016p223944_3,28,81,53,-5.248071429,-4.856814815,0.391256614,2016p223944,3,27.1484375,3.439265874,152070.8755,22.021,3/23/2016 20:39,83,-18.532,-45.80107143,-45.40981482,0.391256614
43,2016p223944_4,5,3,-2,-9.8478,-11.94333333,-2.095533333,2016p223944,4,27.1484375,3.439265874,192671.2751,13.739,3/23/2016 20:39,83,-26.814,-50.4008,-52.49633333,-2.09553333
44,2016p242416_2,6,2,-4,-17.28366667,-14.9105,2.373166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.83666667,-55.4635,2.37316667
45,2016p242416_3,133,47,-86,-7.434759398,-7.363361702,0.071397696,2016p242416,3,12.38349438,3.134148491,199400.1006,5.654,3/30/2016 16:41,90,-34.899,-47.9877594,-47.9163617,0.071397696
46,2016p242416_4,8,0,-8,-10.759625,NA,NA,2016p242416,4,12.38349438,3.134148491,217972.0254,6.87,3/30/2016 16:41,90,-33.683,-51.312625,NA,NA
47,2016p242416_5,1,14,13,-17.143,-17.36878571,-0.225785714,2016p242416,5,12.38349438,3.134148491,292272.5606,3.477,3/30/2016 16:41,90,-37.076,-57.696,-57.92178571,-0.22578571
48,2016p263259_3,2,0,-2,-12.501,NA,NA,2016p263259,3,9.487145424,3.247858798,116440.4611,23.695,4/7/2016 9:45,98,-16.858,-53.054,NA,NA
49,2016p263259_5,42,61,19,-13.3262381,-11.46480328,1.861434817,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.8792381,-52.01780328,1.86143482
50,2016p283637_1,2,3,1,-14.64,-16.487,-1.847,2016p283637,1,147.9259491,3.485644509,127379.0905,10.548,4/14/2016 22:44,105,-30.005,-55.193,-57.04,-1.847
51,2016p283637_2,58,97,39,-15.43875862,-12.35830928,3.080449342,2016p283637,2,147.9259491,3.485644509,84807.70214,18.972,4/14/2016 22:44,105,-21.581,-55.99175862,-52.91130928,3.08044934
52,2016p283637_3,41,26,-15,-3.24002439,-3.780307692,-0.540283302,2016p283637,3,147.9259491,3.485644509,130106.9145,27.881,4/14/2016 22:44,105,-12.672,-43.79302439,-44.33330769,-0.540283302
53,2016p283637_4,45,85,40,-5.193466667,-3.516529412,1.676937255,2016p283637,4,147.9259491,3.485644509,164195.5754,25.738,4/14/2016 22:44,105,-14.815,-45.74646667,-44.06952941,1.676937255
54,2016p300395_2,40,48,8,-21.26955,-19.68779167,1.581758333,2016p300395,2,199.8073578,3.025388765,133681.9697,7.277,4/21/2016 3:31,112,-33.276,-61.82255,-60.24079167,1.58175833
55,2016p300395_3,75,78,3,-8.037493333,-1.359423077,6.678070256,2016p300395,3,199.8073578,3.025388765,179684.8755,16.541,4/21/2016 3:31,112,-24.012,-48.59049333,-41.91242308,6.678070256
